theta_0,theta_1,distances,
0.000926633, 0.0795602, 233.615, 
0.00276409, 0.136748, 58.1117, 
0.00242464, 0.0851969, 47.8539, 
0.000127768, 0.0631846, 321.158, 
0.00205209, 0.117185, 116.64, 
0.00034847, 0.116232, 320.277, 
0.000796343, 0.140952, 305.463, 
0.000328558, 0.0157318, 263.48, 
0.00142208, 0.107773, 204.844, 
0.0027454, 0.0703887, 65.9748, 
0.000777026, 0.093535, 285.299, 
0.00172957, 0.0602343, 47.8875, 
0.000675176, 0.0681387, 270.773, 
0.000195222, 0.0996722, 322.172, 
0.00239765, 0.0667859, 57.295, 
0.00284585, 0.196818, 162.089, 
0.00282854, 0.0710261, 70.265, 
0.00246295, 0.0864449, 44.6941, 
0.00287313, 0.197075, 138.107, 
0.00250417, 0.198394, 190.106, 
0.00228428, 0.0593465, 61.2961, 
0.000335989, 0.0721512, 311.767, 
0.00173883, 0.111522, 134.775, 
0.00209126, 0.0948869, 47.4906, 
0.00240118, 0.125046, 76.0206, 
0.00214801, 0.0200803, 119.843, 
0.00271077, 0.108251, 46.8752, 
0.0013523, 0.155746, 275.504, 
0.00224492, 0.0908325, 43.3832, 
0.00131177, 0.106762, 214.449, 
0.000309359, 0.00597976, 274.931, 
0.00107832, 0.0896232, 232.519, 
0.000235082, 0.101073, 320.779, 
0.000464795, 0.138021, 318.188, 
0.000614709, 0.131368, 312.542, 
0.00272442, 0.130805, 62.0114, 
0.00173054, 0.162804, 252.404, 
0.00275046, 0.133548, 68.642, 
0.00267502, 0.134432, 72.8456, 
0.00198131, 0.162878, 207.32, 
0.00172274, 0.065514, 49.3072, 
0.000114275, 0.141517, 324.898, 
0.000623431, 0.108025, 309.776, 
0.0022063, 0.0245603, 104.072, 
0.00186091, 0.170928, 237.628, 
0.00187935, 0.0562294, 50.8469, 
0.00102768, 0.0737716, 196.195, 
0.00221429, 0.0390571, 79.3414, 
0.00205543, 0.0214815, 113.518, 
0.00226242, 0.173484, 172.898, 
0.00228966, 0.057372, 59.6111, 
0.00253655, 0.152978, 98.9257, 
0.00051755, 0.0720725, 293.871, 
0.0013686, 0.120967, 232.505, 
0.000374311, 0.14991, 320.52, 
0.000876206, 0.175303, 308.995, 
0.000584319, 0.0788157, 294.394, 
0.00273963, 0.110714, 48.2683, 
0.00102036, 0.196248, 308.901, 
0.00168787, 0.197327, 269.213, 
0.00113425, 0.100967, 245.765, 
0.00262663, 0.17528, 152.912, 
0.00153459, 0.0884763, 118.996, 
0.00255597, 0.0144341, 151.798, 
0.00235414, 0.175847, 186.291, 
0.00250363, 0.142923, 103.733, 
0.00212119, 0.0828232, 46.1196, 
0.000340398, 0.0314136, 282.674, 
0.00243585, 0.0374153, 83.2496, 
0.00202178, 0.060182, 52.8548, 
0.00158096, 0.19041, 280.27, 
0.000323256, 0.0277944, 282.188, 
0.000814217, 0.166974, 309.096, 
0.00294897, 0.043516, 89.3414, 
0.000269797, 0.0511584, 309.834, 
0.00140373, 0.114199, 205.501, 
0.00252516, 0.0887509, 44.2852, 
0.00212612, 0.119566, 85.4264, 
0.00184094, 0.112544, 116.981, 
0.00239093, 0.166667, 149.351, 
0.000348308, 0.15915, 321.312, 
0.00151432, 0.0786922, 98.3684, 
0.00133616, 0.157459, 278.394, 
0.0026406, 0.0406372, 84.2959, 
0.00251779, 0.151596, 100.632, 
0.00246127, 0.0685162, 61.9156, 
0.00080854, 0.168127, 308.27, 
0.00114949, 0.186481, 298.709, 
0.00258373, 0.155424, 115.804, 
0.00229351, 0.130291, 92.3675, 
0.00149507, 0.0320437, 83.3951, 
0.00267537, 0.16303, 122.007, 
0.000420768, 0.15681, 319.345, 
0.000455342, 0.18865, 320.622, 
0.00046556, 0.116971, 314.993, 
0.00198303, 0.0942159, 61.6818, 
0.000931486, 0.19895, 309.6, 
0.0013026, 0.0653412, 105.132, 
0.00167873, 0.194851, 271.818, 
0.00150536, 0.175345, 272.812, 
0.00017075, 0.0501824, 317.709, 
0.00290196, 0.00897578, 198.451, 
0.00275977, 0.0917067, 54.905, 
0.000811592, 0.069963, 235.345, 
0.000328242, 0.00788731, 267.618, 
0.00134368, 0.134452, 249.97, 
0.00134323, 0.0752534, 117.033, 
0.00237297, 0.189441, 195.547, 
6.9512e-05, 0.0770463, 324.405, 
0.00192683, 0.180606, 235.973, 
0.0014419, 0.101475, 177.93, 
0.000119655, 0.16995, 324.42, 
0.00234295, 0.1362, 98.6811, 
0.000330942, 0.150391, 321.495, 
0.00167691, 0.174222, 265.805, 
0.00208054, 0.117759, 92.0132, 
0.0015757, 0.0323142, 84.804, 
