k_i,k_r,weights,
0.00192781,0.125405,0.0018285,
0.0017617,0.107012,0.00201101,
0.00175868,0.10094,0.00212269,
0.00170442,0.103332,0.0020189,
0.00166491,0.0978041,0.0020949,
0.00172616,0.103219,0.00208392,
0.00184246,0.108381,0.00209353,
0.00169356,0.0964141,0.00211446,
0.00243875,0.147541,0.00189079,
0.0019099,0.110688,0.00206608,
0.00193587,0.109381,0.00209542,
0.00148088,0.0798079,0.00207895,
0.00176823,0.108262,0.00201067,
0.00197648,0.120945,0.00200452,
0.00204273,0.121783,0.00202809,
0.00171108,0.100765,0.00207071,
0.00177151,0.105292,0.00208855,
0.00243293,0.151834,0.00187947,
0.00169035,0.0970198,0.00210794,
0.00183928,0.100119,0.00205458,
0.0018236,0.098765,0.00207449,
0.00245198,0.153375,0.00185403,
0.00175339,0.0902317,0.00196211,
0.00181648,0.10796,0.00207363,
0.00238284,0.125639,0.00168103,
0.00179513,0.0981751,0.00206814,
0.00185286,0.11539,0.00197309,
0.00145903,0.0811251,0.00206539,
0.00166789,0.0964103,0.00210245,
0.00180848,0.102097,0.00209833,
0.00180659,0.0970226,0.00205476,
0.00187101,0.106073,0.00207294,
0.00181397,0.104956,0.00210073,
0.00221025,0.129082,0.00199401,
0.0018001,0.0974368,0.00205682,
0.00193522,0.0993722,0.00189469,
0.00222901,0.126155,0.00196179,
0.00183413,0.106931,0.00209027,
0.0017642,0.104675,0.00207895,
0.00192912,0.105707,0.00203434,
0.00169472,0.103265,0.0020189,
0.00146044,0.0779393,0.00207226,
0.00191407,0.109199,0.00208426,
0.0019326,0.101389,0.00194153,
0.00182928,0.105106,0.00208787,
0.00174841,0.101625,0.00211343,
0.00237699,0.140868,0.00191322,
0.0018523,0.103846,0.00208787,
0.00185944,0.108775,0.00207963,
0.00180386,0.111896,0.00197807,
0.00229995,0.142206,0.00190132,
0.00164759,0.0981333,0.00206179,
0.00291275,0.173299,0.00167443,
0.00170798,0.100582,0.00207826,
0.0018613,0.100662,0.00203365,
0.00214169,0.125081,0.00201925,
0.00167257,0.101033,0.00200638,
0.00195566,0.118132,0.0020266,
0.00175626,0.107279,0.00203057,
0.00177943,0.106514,0.00207003,
0.00189248,0.109973,0.00209061,
0.00187722,0.105622,0.00209181,
0.00238006,0.153638,0.00180159,
0.0019704,0.11632,0.00205218,
0.0017395,0.104444,0.00205664,
0.00242961,0.153896,0.00180467,
0.00180989,0.101377,0.00208907,
0.00184204,0.0999168,0.00205819,
0.00191853,0.113015,0.00206128,
0.00189775,0.11029,0.00208358,
0.00160451,0.0941496,0.00208821,
0.00186939,0.106994,0.00210314,
0.00170867,0.100576,0.00207946,
0.00247038,0.153404,0.00185162,
0.00181282,0.0979781,0.00206059,
0.00187194,0.10513,0.00207757,
0.00179092,0.104416,0.0020877,
0.00181224,0.101877,0.00211171,
0.00175173,0.0989585,0.00209593,
0.00165246,0.097196,0.00207054,
0.0017811,0.106378,0.0020539,
0.00168805,0.104393,0.00197618,
0.00197221,0.109772,0.00202834,
0.00253906,0.158233,0.00181767,
0.00188593,0.116025,0.00203108,
0.00192346,0.124071,0.00186845,
0.00246019,0.14726,0.0018966,
0.00210728,0.12343,0.00202556,
0.00240391,0.146297,0.00189692,
0.0017787,0.0966399,0.00206728,
0.00181641,0.106848,0.00206539,
0.00182197,0.0983895,0.0020551,
0.00223473,0.12582,0.0019412,
0.00169425,0.0982293,0.00209027,
0.002374,0.15099,0.00184448,
0.00193366,0.103641,0.00199162,
0.00177568,0.107562,0.00205304,
0.00188335,0.0985496,0.00196658,
0.00187467,0.119541,0.00190612,
0.00179504,0.105762,0.00208478,
0.00175482,0.10385,0.00206711,
0.00168667,0.0995332,0.00206745,
0.00192192,0.12424,0.0018319,
0.0022444,0.133968,0.00198156,
0.0018707,0.108404,0.00208221,
0.00181918,0.102794,0.00208444,
0.00177115,0.104352,0.00206711,
0.00184091,0.100369,0.00206093,
0.00164492,0.101413,0.00197052,
0.00255151,0.158855,0.00183979,
0.00181305,0.108636,0.00207397,
0.00152411,0.082121,0.00210605,
0.00224169,0.123625,0.00191949,
0.00170872,0.0993266,0.00209524,
0.0018099,0.10522,0.00210485,
0.00179673,0.104605,0.00210931,
0.00199267,0.123916,0.00197161,
0.00180029,0.105757,0.00209233,
0.00194443,0.109141,0.00207071,
0.00216084,0.124412,0.00200648,
0.00175335,0.102343,0.00208838,
0.00290934,0.175012,0.00170479,
0.00236455,0.148739,0.0018754,
0.00183426,0.0973343,0.00201444,
0.00186584,0.107725,0.00208924,
0.00154575,0.0770771,0.00191888,
0.0018104,0.109302,0.0020539,
0.00200033,0.111809,0.00203108,
0.00266914,0.170445,0.00171608,
0.00187861,0.0991489,0.00199677,
0.00176531,0.0966698,0.00207431,
0.00183947,0.101015,0.00207243,
0.00189621,0.109831,0.00208804,
0.00183185,0.109239,0.00205081,
0.00172176,0.101189,0.0020949,
0.00164863,0.0983526,0.00203383,
0.00158705,0.0929807,0.00208118,
0.00146405,0.0786644,0.00206694,
0.00171313,0.102177,0.00205098,
0.00190201,0.109069,0.00209868,
0.00165524,0.0984165,0.00205887,
0.00179819,0.0972867,0.00206488,
0.00191189,0.102156,0.002005,
0.00182611,0.10613,0.00208324,
0.00179501,0.106329,0.00208186,
0.00247344,0.146352,0.00187515,
0.00176452,0.107047,0.00204378,
0.00173497,0.104833,0.00205647,
0.00184798,0.100784,0.00207311,
0.00183524,0.112023,0.00205304,
0.00179467,0.10824,0.00204429,
0.00177675,0.101244,0.00212389,
0.00171121,0.100952,0.00208838,
0.00243943,0.153032,0.00183193,
0.00179148,0.100899,0.00210039,
0.00212414,0.117592,0.00197674,
0.00233736,0.136262,0.00190936,
0.00179992,0.097624,0.00207226,
0.00173307,0.103526,0.00205098,
0.00182676,0.105031,0.00212098,
0.00173837,0.1014,0.00211532,
